"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00044881","LEE VINING, CA US","2024-07-01","0.00","85","54"
"USC00044881","LEE VINING, CA US","2024-07-02","0.00","88","54"
"USC00044881","LEE VINING, CA US","2024-07-03","0.00","89","54"
"USC00044881","LEE VINING, CA US","2024-07-04","0.00","94","56"
"USC00044881","LEE VINING, CA US","2024-07-05","0.00","95","54"
"USC00044881","LEE VINING, CA US","2024-07-06","0.00","95","57"
"USC00044881","LEE VINING, CA US","2024-07-07","0.00","96","58"
"USC00044881","LEE VINING, CA US","2024-07-08","0.00","95","53"
"USC00044881","LEE VINING, CA US","2024-07-09","0.00","97","53"
"USC00044881","LEE VINING, CA US","2024-07-10","0.00","95","59"
"USC00044881","LEE VINING, CA US","2024-07-11","0.00","94","59"
"USC00044881","LEE VINING, CA US","2024-07-12","0.00","96","63"
"USC00044881","LEE VINING, CA US","2024-07-13","0.00","91","64"
"USC00044881","LEE VINING, CA US","2024-07-14","0.40","90","57"
"USC00044881","LEE VINING, CA US","2024-07-15","0.31","85","51"
"USC00044881","LEE VINING, CA US","2024-07-16","0.00","82","50"
"USC00044881","LEE VINING, CA US","2024-07-17","0.00","85","53"
"USC00044881","LEE VINING, CA US","2024-07-18","0.01","88","59"
"USC00044881","LEE VINING, CA US","2024-07-19","0.02","84","57"
"USC00044881","LEE VINING, CA US","2024-07-20","0.00","90","56"
"USC00044881","LEE VINING, CA US","2024-07-21","0.01","92","56"
"USC00044881","LEE VINING, CA US","2024-07-22","0.00","95","56"
"USC00044881","LEE VINING, CA US","2024-07-23","0.00","92","57"
"USC00044881","LEE VINING, CA US","2024-07-24","0.00","88","57"
"USC00044881","LEE VINING, CA US","2024-07-25","0.00","86","55"
"USC00044881","LEE VINING, CA US","2024-07-26","0.00","87","53"
"USC00044881","LEE VINING, CA US","2024-07-27","0.00","88","59"
"USC00044881","LEE VINING, CA US","2024-07-28","0.00","81","49"
"USC00044881","LEE VINING, CA US","2024-07-29","0.00","84","52"
"USC00044881","LEE VINING, CA US","2024-07-30","0.00","85","51"
"USC00044881","LEE VINING, CA US","2024-07-31","0.00","88","52"
"USC00044881","LEE VINING, CA US","2024-08-01","0.00","89","54"
"USC00044881","LEE VINING, CA US","2024-08-02","0.00","92","63"
"USC00044881","LEE VINING, CA US","2024-08-03","0.00","88","61"
"USC00044881","LEE VINING, CA US","2024-08-04","0.00","82","55"
"USC00044881","LEE VINING, CA US","2024-08-05","0.00","91","57"
"USC00044881","LEE VINING, CA US","2024-08-06","0.00","92","57"
"USC00044881","LEE VINING, CA US","2024-08-07","0.00","92","59"
"USC00044881","LEE VINING, CA US","2024-08-08","0.00","92","61"
"USC00044881","LEE VINING, CA US","2024-08-09","0.00","93","56"
"USC00044881","LEE VINING, CA US","2024-08-10","0.00","93","55"
"USC00044881","LEE VINING, CA US","2024-08-11","0.00","91","63"
"USC00044881","LEE VINING, CA US","2024-08-12","0.00","89","64"
"USC00044881","LEE VINING, CA US","2024-08-13","0.00","84","54"
"USC00044881","LEE VINING, CA US","2024-08-14","0.00","84","49"
"USC00044881","LEE VINING, CA US","2024-08-15","0.00","87","49"
"USC00044881","LEE VINING, CA US","2024-08-16","0.00","84","49"
"USC00044881","LEE VINING, CA US","2024-08-17","0.00","88","53"
"USC00044881","LEE VINING, CA US","2024-08-18","0.00","82","49"
"USC00044881","LEE VINING, CA US","2024-08-20","0.00","84","48"
"USC00044881","LEE VINING, CA US","2024-08-21","0.00","86","48"
"USC00044881","LEE VINING, CA US","2024-08-22","0.00","84","47"
"USC00044881","LEE VINING, CA US","2024-08-23","0.00","81","50"
"USC00044881","LEE VINING, CA US","2024-08-27","0.00","80","46"
"USC00044881","LEE VINING, CA US","2024-08-28","0.00","85","49"
"USC00044881","LEE VINING, CA US","2024-08-29","0.00","87","49"
"USC00044881","LEE VINING, CA US","2024-08-30","0.00","87","50"
"USC00044881","LEE VINING, CA US","2024-08-31","0.00","87","51"
"USC00044881","LEE VINING, CA US","2024-09-01","0.00","86","53"
