"Plot Title: Evap Pan Level"
"#","Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)","Scaled Series, mm (LGR S/N: 21620751)","Scaled Series, units (LGR S/N: 21620751)","Host Connected (LGR S/N: 21620751)","End Of File (LGR S/N: 21620751)"
1,07/05/24 12:14:31 PM,51.986,49.700,-381.71,,
2,07/05/24 12:24:31 PM,47.154,44.795,-425.35,,
3,07/05/24 12:34:31 PM,47.323,44.967,-423.83,,
4,07/05/24 12:44:31 PM,47.462,45.108,-422.58,,
5,07/05/24 12:54:31 PM,47.506,45.153,-422.18,,
6,07/05/24 01:04:31 PM,47.517,45.163,-422.08,,
7,07/05/24 01:14:31 PM,47.547,45.193,-421.81,,
8,07/05/24 01:24:31 PM,47.571,45.219,-421.59,,
9,07/05/24 01:34:31 PM,47.579,45.226,-421.52,,
10,07/05/24 01:44:31 PM,47.553,45.200,-421.75,,
11,07/05/24 01:54:31 PM,47.549,45.196,-421.79,,
12,07/05/24 02:04:31 PM,47.535,45.182,-421.92,,
13,07/05/24 02:14:31 PM,47.524,45.171,-422.01,,
14,07/05/24 02:24:31 PM,47.531,45.178,-421.95,,
15,07/05/24 02:34:31 PM,47.543,45.189,-421.85,,
16,07/05/24 02:44:31 PM,47.575,45.223,-421.55,,
17,07/05/24 02:54:31 PM,47.627,45.275,-421.09,,
18,07/05/24 03:04:31 PM,47.678,45.327,-420.63,,
19,07/05/24 03:14:31 PM,47.732,45.382,-420.13,,
20,07/05/24 03:24:31 PM,47.773,45.423,-419.77,,
21,07/05/24 03:34:31 PM,47.791,45.442,-419.61,,
22,07/05/24 03:44:31 PM,47.809,45.460,-419.44,,
23,07/05/24 03:54:31 PM,47.821,45.472,-419.34,,
24,07/05/24 04:04:31 PM,47.784,45.435,-419.67,,
25,07/05/24 04:14:31 PM,47.747,45.397,-420.00,,
26,07/05/24 04:24:31 PM,47.708,45.357,-420.36,,
27,07/05/24 04:34:31 PM,47.678,45.327,-420.63,,
28,07/05/24 04:44:31 PM,47.674,45.323,-420.66,,
29,07/05/24 04:54:31 PM,47.648,45.297,-420.90,,
30,07/05/24 05:04:31 PM,47.616,45.263,-421.19,,
31,07/05/24 05:14:31 PM,47.565,45.212,-421.65,,
32,07/05/24 05:24:31 PM,47.571,45.219,-421.59,,
33,07/05/24 05:34:31 PM,47.473,45.118,-422.48,,
34,07/05/24 05:44:31 PM,47.374,45.018,-423.37,,
35,07/05/24 05:54:31 PM,47.279,44.922,-424.23,,
36,07/05/24 06:04:31 PM,47.232,44.874,-424.65,,
37,07/05/24 06:14:31 PM,47.192,44.833,-425.02,,
38,07/05/24 06:24:31 PM,47.154,44.795,-425.35,,
39,07/05/24 06:34:31 PM,47.111,44.752,-425.74,,
40,07/05/24 06:44:31 PM,47.082,44.721,-426.01,,
41,07/05/24 06:54:31 PM,47.049,44.688,-426.31,,
42,07/05/24 07:04:31 PM,47.016,44.655,-426.60,,
43,07/05/24 07:14:31 PM,46.983,44.621,-426.90,,
44,07/05/24 07:24:31 PM,46.954,44.592,-427.16,,
45,07/05/24 07:34:31 PM,46.932,44.570,-427.36,,
46,07/05/24 07:44:31 PM,46.914,44.551,-427.53,,
47,07/05/24 07:54:31 PM,46.906,44.543,-427.60,,
48,07/05/24 08:04:31 PM,46.906,44.543,-427.60,,
49,07/05/24 08:14:31 PM,46.906,44.543,-427.60,,
50,07/05/24 08:24:31 PM,46.921,44.558,-427.47,,
51,07/05/24 08:34:31 PM,46.936,44.574,-427.33,,
52,07/05/24 08:44:31 PM,46.954,44.592,-427.16,,
53,07/05/24 08:54:31 PM,46.969,44.607,-427.03,,
54,07/05/24 09:04:31 PM,46.983,44.621,-426.90,,
55,07/05/24 09:14:31 PM,47.009,44.647,-426.67,,
56,07/05/24 09:24:31 PM,47.049,44.688,-426.31,,
57,07/05/24 09:34:31 PM,47.104,44.744,-425.81,,
58,07/05/24 09:44:31 PM,47.148,44.789,-425.42,,
59,07/05/24 09:54:31 PM,47.126,44.766,-425.61,,
60,07/05/24 10:04:31 PM,47.096,44.736,-425.88,,
61,07/05/24 10:14:31 PM,47.089,44.729,-425.94,,
62,07/05/24 10:24:31 PM,47.104,44.744,-425.81,,
63,07/05/24 10:34:31 PM,47.162,44.803,-425.29,,
64,07/05/24 10:44:31 PM,47.243,44.885,-424.56,,
65,07/05/24 10:54:31 PM,47.316,44.959,-423.90,,
66,07/05/24 11:04:31 PM,47.323,44.967,-423.83,,
67,07/05/24 11:14:31 PM,47.323,44.967,-423.83,,
68,07/05/24 11:24:31 PM,47.334,44.977,-423.74,,
69,07/05/24 11:34:31 PM,47.367,45.011,-423.43,,
70,07/05/24 11:44:31 PM,47.418,45.063,-422.97,,
71,07/05/24 11:54:31 PM,47.495,45.141,-422.28,,
72,07/06/24 12:04:31 AM,47.569,45.216,-421.61,,
73,07/06/24 12:14:31 AM,47.638,45.286,-420.99,,
74,07/06/24 12:24:31 AM,47.700,45.349,-420.43,,
75,07/06/24 12:34:31 AM,47.758,45.408,-419.90,,
76,07/06/24 12:44:31 AM,47.809,45.460,-419.44,,
77,07/06/24 12:54:31 AM,47.853,45.505,-419.04,,
78,07/06/24 01:04:31 AM,47.897,45.550,-418.64,,
