#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/21/2024 10:48:56,25.09,12.88,-5.37,,
2,05/21/2024 10:53:56,21.54,12.91,-8.11,,
3,05/21/2024 10:58:56,16.76,15.70,-9.42,,
4,05/21/2024 11:03:56,14.57,17.23,-10.02,,
5,05/21/2024 11:08:56,13.62,18.91,-9.62,,
6,05/21/2024 11:13:56,13.26,19.01,-9.85,,
7,05/21/2024 11:18:56,13.01,19.66,-9.63,,
8,05/21/2024 11:23:56,12.98,20.16,-9.34,,
9,05/21/2024 11:28:56,13.05,19.50,-9.70,,
10,05/21/2024 11:33:56,13.12,19.24,-9.82,,
11,05/21/2024 11:38:56,13.48,19.07,-9.63,,
12,05/21/2024 11:43:56,13.47,19.34,-9.46,,
13,05/21/2024 11:48:56,13.33,19.97,-9.17,,
14,05/21/2024 11:53:56,13.56,19.74,-9.12,,
15,05/21/2024 11:58:56,13.51,19.62,-9.24,,
16,05/21/2024 12:03:56,13.58,19.19,-9.47,,
17,05/21/2024 12:08:56,13.68,20.05,-8.83,,
18,05/21/2024 12:13:56,13.87,18.98,-9.37,,
19,05/21/2024 12:18:56,14.04,19.16,-9.11,,
20,05/21/2024 12:23:56,14.04,19.04,-9.19,,
21,05/21/2024 12:28:56,14.01,18.94,-9.27,,
22,05/21/2024 12:33:56,13.97,19.47,-8.96,,
23,05/21/2024 12:38:56,14.16,19.31,-8.91,,
24,05/21/2024 12:43:56,14.61,18.20,-9.29,,
25,05/21/2024 12:48:56,14.87,18.59,-8.81,,
26,05/21/2024 12:53:56,15.20,17.34,-9.42,,
27,05/21/2024 12:58:56,15.33,17.58,-9.15,,
28,05/21/2024 13:03:56,15.57,16.55,-9.71,,
29,05/21/2024 13:08:56,15.90,17.09,-9.04,,
30,05/21/2024 13:13:56,16.00,16.77,-9.20,,
31,05/21/2024 13:18:56,15.90,16.68,-9.35,,
32,05/21/2024 13:23:56,16.10,15.73,-9.93,,
33,05/21/2024 13:28:56,16.12,15.87,-9.81,,
34,05/21/2024 13:33:56,16.26,15.49,-9.99,,
35,05/21/2024 13:38:56,16.55,15.16,-10.03,,
36,05/21/2024 13:43:56,16.31,15.34,-10.07,,
37,05/21/2024 13:48:56,16.30,15.33,-10.09,,
38,05/21/2024 13:53:56,16.37,14.81,-10.47,,
39,05/21/2024 13:58:56,16.36,14.43,-10.80,,
40,05/21/2024 14:03:56,16.45,14.62,-10.56,,
41,05/21/2024 14:08:56,16.43,14.38,-10.79,,
42,05/21/2024 14:13:56,16.25,14.38,-10.94,,
43,05/21/2024 14:18:56,16.35,13.67,-11.49,,
44,05/21/2024 14:23:56,16.39,13.80,-11.34,,
45,05/21/2024 14:28:56,16.22,14.05,-11.24,,
46,05/21/2024 14:33:56,16.18,14.01,-11.32,,
47,05/21/2024 14:38:56,16.62,14.25,-10.76,,
48,05/21/2024 14:43:56,17.15,12.80,-11.67,,
49,05/21/2024 14:48:56,17.30,13.83,-10.59,,
50,05/21/2024 14:53:56,17.40,13.22,-11.08,,
51,05/21/2024 14:58:56,17.32,13.76,-10.64,,
52,05/21/2024 15:03:56,17.37,12.94,-11.37,,
53,05/21/2024 15:08:56,17.33,13.37,-10.98,,
54,05/21/2024 15:13:56,17.22,13.19,-11.25,,
55,05/21/2024 15:18:56,17.13,14.19,-10.40,,
56,05/21/2024 15:23:56,17.20,14.05,-10.47,,
57,05/21/2024 15:28:56,17.70,13.41,-10.66,,
58,05/21/2024 15:33:56,17.94,13.38,-10.50,,
59,05/21/2024 15:38:56,17.87,13.02,-10.89,,
60,05/21/2024 15:43:56,17.51,13.91,-10.35,,
61,05/21/2024 15:48:56,17.55,12.76,-11.39,,
62,05/21/2024 15:53:56,17.54,12.81,-11.37,,
63,05/21/2024 15:58:56,17.26,13.94,-10.52,,
64,05/21/2024 16:03:56,17.64,14.04,-10.13,,
65,05/21/2024 16:08:56,17.98,13.48,-10.38,,
66,05/21/2024 16:13:56,18.09,13.54,-10.24,,
67,05/21/2024 16:18:56,18.26,13.00,-10.60,,
68,05/21/2024 16:23:56,18.50,13.52,-9.92,,
69,05/21/2024 16:28:56,18.72,12.83,-10.41,,
70,05/21/2024 16:33:56,18.94,12.90,-10.17,,
71,05/21/2024 16:38:56,18.75,13.41,-9.83,,
72,05/21/2024 16:43:56,18.93,13.30,-9.79,,
73,05/21/2024 16:48:56,19.05,13.28,-9.72,,
74,05/21/2024 16:53:56,18.82,12.18,-10.99,,
75,05/21/2024 16:58:56,18.37,12.67,-10.85,,
76,05/21/2024 17:03:56,18.11,12.21,-11.51,,
77,05/21/2024 17:08:56,18.16,15.07,-8.81,,
78,05/21/2024 17:13:56,18.07,14.99,-8.96,,
79,05/21/2024 17:18:56,18.11,15.46,-8.53,,
80,05/21/2024 17:23:56,17.91,15.48,-8.68,,
81,05/21/2024 17:28:56,17.93,15.28,-8.82,,
82,05/21/2024 17:33:56,17.76,15.77,-8.56,,
83,05/21/2024 17:38:56,17.73,15.85,-8.52,,
84,05/21/2024 17:43:56,17.78,15.53,-8.74,,
85,05/21/2024 17:48:56,17.58,16.11,-8.43,,
86,05/21/2024 17:53:56,17.59,15.90,-8.59,,
87,05/21/2024 17:58:56,17.51,16.02,-8.56,,
88,05/21/2024 18:03:56,17.30,15.73,-8.96,,
89,05/21/2024 18:08:56,17.15,15.88,-8.96,,
90,05/21/2024 18:13:56,17.15,15.81,-9.02,,
91,05/21/2024 18:18:56,17.00,15.92,-9.05,,
92,05/21/2024 18:23:56,16.90,15.97,-9.09,,
93,05/21/2024 18:28:56,16.80,16.06,-9.10,,
94,05/21/2024 18:33:56,16.62,16.23,-9.10,,
95,05/21/2024 18:38:56,16.46,16.61,-8.95,,
96,05/21/2024 18:43:56,16.32,16.31,-9.29,,
97,05/21/2024 18:48:56,16.17,16.62,-9.17,,
98,05/21/2024 18:53:56,15.91,16.51,-9.46,,
99,05/21/2024 18:58:56,15.70,16.65,-9.53,,
100,05/21/2024 19:03:56,15.48,17.25,-9.26,,
101,05/21/2024 19:08:56,15.37,17.18,-9.40,,
102,05/21/2024 19:13:56,15.22,16.97,-9.67,,
103,05/21/2024 19:18:56,15.06,17.39,-9.50,,
104,05/21/2024 19:23:56,14.85,17.61,-9.51,,
105,05/21/2024 19:28:56,14.58,17.73,-9.65,,
106,05/21/2024 19:33:56,14.30,18.05,-9.65,,
107,05/21/2024 19:38:56,14.01,17.87,-10.01,,
108,05/21/2024 19:43:56,13.73,18.04,-10.13,,
109,05/21/2024 19:48:56,13.49,18.39,-10.08,,
110,05/21/2024 19:53:56,13.18,18.64,-10.17,,
111,05/21/2024 19:58:56,12.79,19.53,-9.90,,
112,05/21/2024 20:03:56,12.27,20.23,-9.88,,
113,05/21/2024 20:08:56,11.82,20.64,-10.01,,
114,05/21/2024 20:13:56,11.37,21.24,-10.02,,
115,05/21/2024 20:18:56,11.12,21.44,-10.12,,
116,05/21/2024 20:23:56,10.99,21.55,-10.15,,
117,05/21/2024 20:28:56,10.86,21.99,-10.01,,
118,05/21/2024 20:33:56,10.44,23.03,-9.79,,
119,05/21/2024 20:38:56,9.85,22.51,-10.57,,
120,05/21/2024 20:43:56,9.61,22.26,-10.91,,
121,05/21/2024 20:48:56,9.40,22.29,-11.07,,
122,05/21/2024 20:53:56,9.21,22.64,-11.03,,
123,05/21/2024 20:58:56,9.15,22.57,-11.12,,
124,05/21/2024 21:03:56,9.10,22.97,-10.94,,
125,05/21/2024 21:08:56,8.61,23.80,-10.92,,
126,05/21/2024 21:13:56,8.26,24.35,-10.93,,
127,05/21/2024 21:18:56,7.91,24.48,-11.16,,
128,05/21/2024 21:23:56,7.66,24.99,-11.11,,
129,05/21/2024 21:28:56,7.30,25.31,-11.27,,
130,05/21/2024 21:33:56,6.97,26.02,-11.20,,
131,05/21/2024 21:38:56,6.68,26.63,-11.16,,
132,05/21/2024 21:43:56,6.32,26.98,-11.31,,
133,05/21/2024 21:48:56,6.13,27.21,-11.36,,
134,05/21/2024 21:53:56,6.05,27.43,-11.33,,
135,05/21/2024 21:58:56,5.94,27.54,-11.38,,
136,05/21/2024 22:03:56,5.98,27.65,-11.29,,
137,05/21/2024 22:08:56,5.73,28.26,-11.23,,
138,05/21/2024 22:13:56,5.37,28.82,-11.31,,
139,05/21/2024 22:18:56,5.32,28.64,-11.43,,
140,05/21/2024 22:23:56,5.57,28.42,-11.31,,
141,05/21/2024 22:28:56,5.58,28.34,-11.33,,
142,05/21/2024 22:33:56,5.95,27.50,-11.39,,
143,05/21/2024 22:38:56,6.45,26.55,-11.39,,
144,05/21/2024 22:43:56,6.62,26.37,-11.33,,
145,05/21/2024 22:48:56,6.69,26.14,-11.38,,
146,05/21/2024 22:53:56,6.87,25.98,-11.31,,
147,05/21/2024 22:58:56,6.87,26.03,-11.28,,
148,05/21/2024 23:03:56,6.60,26.33,-11.37,,
149,05/21/2024 23:08:56,6.26,26.69,-11.49,,
150,05/21/2024 23:13:56,5.59,28.29,-11.35,,
