"Plot Title: Evap Pan Level"
"#","Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)","Host Connected (LGR S/N: 21620751)","Stopped (LGR S/N: 21620751)","End Of File (LGR S/N: 21620751)"
1,08/16/23 06:49:15 PM,183.573,,,
2,08/16/23 08:49:15 PM,184.750,,,
3,08/16/23 10:49:15 PM,184.541,,,
4,08/17/23 12:49:15 AM,184.366,,,
5,08/17/23 02:49:15 AM,184.396,,,
6,08/17/23 04:49:15 AM,184.374,,,
7,08/17/23 06:49:15 AM,184.257,,,
8,08/17/23 08:49:15 AM,185.577,,,
9,08/17/23 10:49:15 AM,185.924,,,
10,08/17/23 12:49:15 PM,186.169,,,
11,08/17/23 02:49:15 PM,188.381,,,
12,08/17/23 04:49:15 PM,189.592,,,
13,08/17/23 06:49:15 PM,188.974,,,
14,08/17/23 08:49:15 PM,193.193,,,
15,08/17/23 10:49:15 PM,195.073,,,
16,08/18/23 12:49:15 AM,194.879,,,
17,08/18/23 02:49:15 AM,194.759,,,
18,08/18/23 04:49:15 AM,194.623,,,
19,08/18/23 06:49:15 AM,194.477,,,
20,08/18/23 08:49:15 AM,194.982,,,
21,08/18/23 10:49:15 AM,195.164,,,
22,08/18/23 12:49:15 PM,194.879,,,
23,08/18/23 02:49:15 PM,194.188,,,
24,08/18/23 04:49:15 PM,192.795,,,
25,08/18/23 06:49:15 PM,191.412,,,
26,08/18/23 08:49:15 PM,194.539,,,
27,08/18/23 10:49:15 PM,199.988,,,
28,08/19/23 12:49:15 AM,204.219,,,
29,08/19/23 02:49:15 AM,206.518,,,
30,08/19/23 04:49:15 AM,208.325,,,
31,08/19/23 06:49:15 AM,209.930,,,
32,08/19/23 08:49:15 AM,212.365,,,
33,08/19/23 10:49:15 AM,215.667,,,
34,08/19/23 12:49:15 PM,217.818,,,
35,08/19/23 02:49:15 PM,219.386,,,
36,08/19/23 04:49:15 PM,220.644,,,
