#,Date-Time (PDT),RH   (%),Dew Point   (??C),Host Connected,End of File
1,5/21/2024 10:48,12.88,-5.37,,
2,5/21/2024 10:53,12.91,-8.11,,
3,5/21/2024 10:58,15.7,-9.42,,
4,5/21/2024 11:03,17.23,-10.02,,
5,5/21/2024 11:08,18.91,-9.62,,
6,5/21/2024 11:13,19.01,-9.85,,
7,5/21/2024 11:18,19.66,-9.63,,
8,5/21/2024 11:23,20.16,-9.34,,
9,5/21/2024 11:28,19.5,-9.7,,
10,5/21/2024 11:33,19.24,-9.82,,
11,5/21/2024 11:38,19.07,-9.63,,
12,5/21/2024 11:43,19.34,-9.46,,
13,5/21/2024 11:48,19.97,-9.17,,
14,5/21/2024 11:53,19.74,-9.12,,
15,5/21/2024 11:58,19.62,-9.24,,
16,5/21/2024 12:03,19.19,-9.47,,
17,5/21/2024 12:08,20.05,-8.83,,
18,5/21/2024 12:13,18.98,-9.37,,
19,5/21/2024 12:18,19.16,-9.11,,
20,5/21/2024 12:23,19.04,-9.19,,
21,5/21/2024 12:28,18.94,-9.27,,
22,5/21/2024 12:33,19.47,-8.96,,
23,5/21/2024 12:38,19.31,-8.91,,
24,5/21/2024 12:43,18.2,-9.29,,
25,5/21/2024 12:48,18.59,-8.81,,
26,5/21/2024 12:53,17.34,-9.42,,
27,5/21/2024 12:58,17.58,-9.15,,
28,5/21/2024 13:03,16.55,-9.71,,
29,5/21/2024 13:08,17.09,-9.04,,
30,5/21/2024 13:13,16.77,-9.2,,
31,5/21/2024 13:18,16.68,-9.35,,
32,5/21/2024 13:23,15.73,-9.93,,
33,5/21/2024 13:28,15.87,-9.81,,
34,5/21/2024 13:33,15.49,-9.99,,
35,5/21/2024 13:38,15.16,-10.03,,
36,5/21/2024 13:43,15.34,-10.07,,
37,5/21/2024 13:48,15.33,-10.09,,
38,5/21/2024 13:53,14.81,-10.47,,
39,5/21/2024 13:58,14.43,-10.8,,
40,5/21/2024 14:03,14.62,-10.56,,
