Plot Title: Evap Pan Level,,,,,
#,"Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)",Host Connected (LGR S/N: 21620751),Stopped (LGR S/N: 21620751),End Of File (LGR S/N: 21620751)
2,9/7/2023 12:37,207.6,,,
3,9/7/2023 14:37,206.712,,,
4,9/7/2023 16:37,205.176,,,
5,9/7/2023 18:37,203.864,,,
6,9/7/2023 20:37,203.135,,,
7,9/7/2023 22:37,202.763,,,
8,9/8/2023 0:37,202.562,,,
9,9/8/2023 2:37,202.438,,,
10,9/8/2023 4:37,202.302,,,
11,9/8/2023 6:37,202.873,,,
12,9/8/2023 8:37,203.586,,,
13,9/8/2023 10:37,204.39,,,
14,9/8/2023 12:37,204.697,,,
15,9/8/2023 14:37,204.098,,,
16,9/8/2023 16:37,203.677,,,
17,9/8/2023 18:37,202.917,,,
18,9/8/2023 20:37,202.163,,,
19,9/8/2023 22:37,202.204,,,
20,9/9/2023 0:37,202.426,,,
21,9/9/2023 2:37,202.774,,,
22,9/9/2023 4:37,203.081,,,
23,9/9/2023 6:37,203.542,,,
24,9/9/2023 8:37,203.907,,,
25,9/9/2023 10:37,204.336,,,
26,9/9/2023 12:37,204.616,,,
27,9/9/2023 14:37,204.91,,,
28,9/9/2023 16:37,205.191,,,
29,9/9/2023 18:37,205.055,,,
30,9/9/2023 20:37,205.11,,,
31,9/9/2023 22:37,205.162,,,
32,9/10/2023 0:37,205.209,,,
33,9/10/2023 2:37,205.359,,,
34,9/10/2023 4:37,205.561,,,
35,9/10/2023 6:37,205.926,,,
36,9/10/2023 8:37,206.46,,,
37,9/10/2023 10:37,207.203,,,
38,9/10/2023 12:37,207.703,,,
39,9/10/2023 14:37,207.699,,,
40,9/10/2023 16:37,207.1,,,
41,9/10/2023 18:37,206.994,,,
42,9/10/2023 20:37,206.88,,,
43,9/10/2023 22:37,206.434,,,
44,9/11/2023 0:37,206.577,,,
45,9/11/2023 2:37,205.98,,,
46,9/11/2023 4:37,205.885,,,
47,9/11/2023 6:37,205.78,,,
48,9/11/2023 8:37,205.933,,,
49,9/11/2023 10:37,206.288,,,
50,9/11/2023 12:37,206.405,,,
51,9/11/2023 14:37,206.182,,,
52,9/11/2023 16:37,205.388,,,
53,9/11/2023 18:37,204.96,,,
54,9/11/2023 20:37,204.452,,,
55,9/11/2023 22:37,203.552,,,
56,9/12/2023 0:37,202.488,,,
57,9/12/2023 2:37,201.461,,,
58,9/12/2023 4:37,199.947,,,
59,9/12/2023 6:37,199.684,,,
60,9/12/2023 8:37,199.911,,,
61,9/12/2023 10:37,199.735,,,
62,9/12/2023 12:37,199.919,,,
63,9/12/2023 14:37,199.6,,,
64,9/12/2023 16:37,199.289,,,
65,9/12/2023 18:37,199.03,,,
66,9/12/2023 20:37,199.684,,,
67,9/12/2023 22:37,197.987,,,
68,9/13/2023 0:37,195.362,,,
69,9/13/2023 2:37,194.352,,,
70,9/13/2023 4:37,192.506,,,
71,9/13/2023 6:37,188.74,,,
72,9/13/2023 8:37,193.884,,,
73,9/13/2023 10:37,193.804,,,
74,9/13/2023 12:37,194.572,,,
75,9/13/2023 14:37,193.932,,,
76,9/13/2023 16:37,193.362,,,
77,9/13/2023 18:37,192.375,,,
78,9/13/2023 20:37,191.731,,,
79,9/13/2023 22:37,191.511,,,
80,9/14/2023 0:37,190.941,,,
81,9/14/2023 2:37,190.864,,,
82,9/14/2023 4:37,190.759,,,
83,9/14/2023 6:37,190.557,,,
84,9/14/2023 8:37,188.148,,,
85,9/14/2023 10:37,189.518,,,
86,9/14/2023 12:37,190.447,,,
87,9/14/2023 14:37,190.429,,,
88,9/14/2023 16:37,189.592,,,
89,9/14/2023 18:37,188.791,,,
90,9/14/2023 20:37,200.945,,,
91,9/14/2023 22:37,188.47,,,
92,9/15/2023 0:37,188.14,,,
93,9/15/2023 2:37,187.803,,,
94,9/15/2023 4:37,187.628,,,
95,9/15/2023 6:37,187.442,,,
96,9/15/2023 8:37,187.31,,,
97,9/15/2023 10:37,188.059,,,
98,9/15/2023 12:37,188.502,,,
99,9/15/2023 14:37,188.524,,,
100,9/15/2023 16:37,188.198,,,
101,9/15/2023 18:37,187.38,,,
102,9/15/2023 20:37,186.85,,,
103,9/15/2023 22:37,186.703,,,
104,9/16/2023 0:37,186.645,,,
105,9/16/2023 2:37,186.447,,,
106,9/16/2023 4:37,186.437,,,
107,9/16/2023 6:37,186.392,,,
108,9/16/2023 8:37,185.939,,,
109,9/16/2023 10:37,186.136,,,
110,9/16/2023 12:37,186.312,,,
111,9/16/2023 14:37,186.016,,,
112,9/16/2023 16:37,185.748,,,
113,9/16/2023 18:37,185.069,,,
114,9/16/2023 20:37,184.867,,,
115,9/16/2023 22:37,184.483,,,
116,9/17/2023 0:37,184.418,,,
117,9/17/2023 2:37,184.227,,,
118,9/17/2023 4:37,183.818,,,
119,9/17/2023 6:37,186.312,,,
120,9/17/2023 8:37,186.846,,,
121,9/17/2023 10:37,187.475,,,
122,9/17/2023 12:37,188.111,,,
123,9/17/2023 14:37,188.257,,,
124,9/17/2023 16:37,187.431,,,
125,9/17/2023 18:37,187.061,,,
126,9/17/2023 20:37,186.89,,,
127,9/17/2023 22:37,186.791,,,
