Plot Title: Evap Pan Level,,,,,
#,"Date Time, GMT-07:00","EV pan Level   mm, Millimeter (LGR S/N: 21620751)",Host Connected (LGR S/N: 21620751),Stopped (LGR S/N: 21620751),End Of File (LGR S/N: 21620751)
1,8/16/2023 18:49,183.573,,,
2,8/16/2023 20:49,184.75,,,
3,8/16/2023 22:49,184.541,,,
4,8/17/2023 0:49,184.366,,,
5,8/17/2023 2:49,184.396,,,
6,8/17/2023 4:49,184.374,,,
7,8/17/2023 6:49,184.257,,,
8,8/17/2023 8:49,185.577,,,
9,8/17/2023 10:49,185.924,,,
10,8/17/2023 12:49,186.169,,,
11,8/17/2023 14:49,188.381,,,
12,8/17/2023 16:49,189.592,,,
13,8/17/2023 18:49,188.974,,,
14,8/17/2023 20:49,193.193,,,
15,8/17/2023 22:49,195.073,,,
16,8/18/2023 0:49,194.879,,,
17,8/18/2023 2:49,194.759,,,
18,8/18/2023 4:49,194.623,,,
19,8/18/2023 6:49,194.477,,,
20,8/18/2023 8:49,194.982,,,
21,8/18/2023 10:49,195.164,,,
22,8/18/2023 12:49,194.879,,,
23,8/18/2023 14:49,194.188,,,
24,8/18/2023 16:49,192.795,,,
25,8/18/2023 18:49,191.412,,,
26,8/18/2023 20:49,194.539,,,
27,8/18/2023 22:49,199.988,,,
28,8/19/2023 0:49,204.219,,,
29,8/19/2023 2:49,206.518,,,
30,8/19/2023 4:49,208.325,,,
31,8/19/2023 6:49,209.93,,,
32,8/19/2023 8:49,212.365,,,
33,8/19/2023 10:49,215.667,,,
34,8/19/2023 12:49,217.818,,,
35,8/19/2023 14:49,219.386,,,
36,8/19/2023 16:49,220.644,,,
37,8/19/2023 18:49,221.825,,,
38,8/19/2023 20:49,223.2,,,
39,8/19/2023 22:49,223.923,,,
40,8/20/2023 0:49,225.423,,,
41,8/20/2023 2:49,227.328,,,
42,8/20/2023 4:49,227.895,,,
43,8/20/2023 6:49,228.275,,,
44,8/20/2023 8:49,228.688,,,
45,8/20/2023 10:49,229.087,,,
46,8/20/2023 12:49,229.764,,,
47,8/20/2023 14:49,232.18,,,
48,8/20/2023 16:49,232.849,,,
49,8/20/2023 18:49,234.488,,,
50,8/20/2023 20:49,235.958,,,
51,8/20/2023 22:49,238.931,,,
52,8/21/2023 0:49,242.793,,,
