"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-16 01:00:00",,29.51,,,,"2023-08-16","01","n"
"2023-08-16 02:00:00",,9.61,,,,"2023-08-16","02","n"
"2023-08-16 03:00:00",,0.00,,,,"2023-08-16","03","n"
"2023-08-16 04:00:00",,0.00,,,,"2023-08-16","04","n"
"2023-08-16 05:00:00",,0.00,,,,"2023-08-16","05","n"
"2023-08-16 06:00:00",,0.00,,,,"2023-08-16","06","n"
"2023-08-16 07:00:00",,0.00,,,,"2023-08-16","07","n"
"2023-08-16 08:00:00",,0.00,,,,"2023-08-16","08","n"
"2023-08-16 09:00:00",,0.00,,,,"2023-08-16","09","n"
"2023-08-16 10:00:00",,0.00,,,,"2023-08-16","10","n"
"2023-08-16 11:00:00",,0.00,,,,"2023-08-16","11","n"
"2023-08-16 12:00:00",,0.00,,,,"2023-08-16","12","n"
"2023-08-16 13:00:00",,0.00,,,,"2023-08-16","13","n"
"2023-08-16 14:00:00",,9.89,,,,"2023-08-16","14","n"
"2023-08-16 15:00:00",,29.12,,,,"2023-08-16","15","n"
"2023-08-16 16:00:00",,48.73,,,,"2023-08-16","16","n"
"2023-08-16 17:00:00",,66.24,,,,"2023-08-16","17","n"
"2023-08-16 18:00:00",,80.00,,,,"2023-08-16","18","n"
"2023-08-16 19:00:00",,88.70,,,,"2023-08-16","19","n"
"2023-08-16 20:00:00",,91.86,,,,"2023-08-16","20","n"
"2023-08-16 21:00:00",,64.98,,,,"2023-08-16","21","n"
"2023-08-16 22:00:00",,17.58,,,,"2023-08-16","22","n"
"2023-08-16 23:00:00",,65.90,,,,"2023-08-16","23","n"
"2023-08-17 00:00:00",,12.50,,,,"2023-08-17","00","n"
"2023-08-17 01:00:00",,4.71,,,,"2023-08-17","01","n"
"2023-08-17 02:00:00",,1.03,,,,"2023-08-17","02","n"
"2023-08-17 03:00:00",,0.00,,,,"2023-08-17","03","n"
"2023-08-17 04:00:00",,0.00,,,,"2023-08-17","04","n"
"2023-08-17 05:00:00",,0.00,,,,"2023-08-17","05","n"
"2023-08-17 06:00:00",,0.00,,,,"2023-08-17","06","n"
"2023-08-17 07:00:00",,0.00,,,,"2023-08-17","07","n"
"2023-08-17 08:00:00",,0.00,,,,"2023-08-17","08","n"
"2023-08-17 09:00:00",,0.00,,,,"2023-08-17","09","n"
"2023-08-17 10:00:00",,0.00,,,,"2023-08-17","10","n"
"2023-08-17 11:00:00",,0.00,,,,"2023-08-17","11","n"
"2023-08-17 12:00:00",,0.00,,,,"2023-08-17","12","n"
"2023-08-17 13:00:00",,0.00,,,,"2023-08-17","13","n"
"2023-08-17 14:00:00",,4.16,,,,"2023-08-17","14","n"
"2023-08-17 15:00:00",,14.19,,,,"2023-08-17","15","n"
"2023-08-17 16:00:00",,47.92,,,,"2023-08-17","16","n"
"2023-08-17 17:00:00",,65.85,,,,"2023-08-17","17","n"
"2023-08-17 18:00:00",,79.70,,,,"2023-08-17","18","n"
"2023-08-17 19:00:00",,88.34,,,,"2023-08-17","19","n"
"2023-08-17 20:00:00",,87.81,,,,"2023-08-17","20","n"
"2023-08-17 21:00:00",,20.48,,,,"2023-08-17","21","n"
"2023-08-17 22:00:00",,34.10,,,,"2023-08-17","22","n"
"2023-08-17 23:00:00",,61.28,,,,"2023-08-17","23","n"
"2023-08-18 00:00:00",,5.78,,,,"2023-08-18","00","n"
"2023-08-18 01:00:00",,5.73,,,,"2023-08-18","01","n"
"2023-08-18 02:00:00",,0.62,,,,"2023-08-18","02","n"
"2023-08-18 03:00:00",,0.00,,,,"2023-08-18","03","n"
"2023-08-18 04:00:00",,0.00,,,,"2023-08-18","04","n"
"2023-08-18 05:00:00",,0.00,,,,"2023-08-18","05","n"
"2023-08-18 06:00:00",,0.00,,,,"2023-08-18","06","n"
"2023-08-18 07:00:00",,0.00,,,,"2023-08-18","07","n"
"2023-08-18 08:00:00",,0.00,,,,"2023-08-18","08","n"
"2023-08-18 09:00:00",,0.00,,,,"2023-08-18","09","n"
"2023-08-18 10:00:00",,0.00,,,,"2023-08-18","10","n"
"2023-08-18 11:00:00",,0.00,,,,"2023-08-18","11","n"
"2023-08-18 12:00:00",,0.00,,,,"2023-08-18","12","n"
"2023-08-18 13:00:00",,0.00,,,,"2023-08-18","13","n"
"2023-08-18 14:00:00",,9.57,,,,"2023-08-18","14","n"
"2023-08-18 15:00:00",,29.23,,,,"2023-08-18","15","n"
"2023-08-18 16:00:00",,49.15,,,,"2023-08-18","16","n"
"2023-08-18 17:00:00",,67.01,,,,"2023-08-18","17","n"
"2023-08-18 18:00:00",,81.02,,,,"2023-08-18","18","n"
"2023-08-18 19:00:00",,89.31,,,,"2023-08-18","19","n"
"2023-08-18 20:00:00",,90.51,,,,"2023-08-18","20","n"
"2023-08-18 21:00:00",,74.99,,,,"2023-08-18","21","n"
"2023-08-18 22:00:00",,78.37,,,,"2023-08-18","22","n"
"2023-08-18 23:00:00",,48.29,,,,"2023-08-18","23","n"
"2023-08-19 00:00:00",,41.64,,,,"2023-08-19","00","n"
"2023-08-19 01:00:00",,3.14,,,,"2023-08-19","01","n"
"2023-08-19 02:00:00",,0.96,,,,"2023-08-19","02","n"
"2023-08-19 03:00:00",,0.00,,,,"2023-08-19","03","n"
"2023-08-19 04:00:00",,0.00,,,,"2023-08-19","04","n"
"2023-08-19 05:00:00",,0.00,,,,"2023-08-19","05","n"
"2023-08-19 06:00:00",,0.00,,,,"2023-08-19","06","n"
"2023-08-19 07:00:00",,0.00,,,,"2023-08-19","07","n"
"2023-08-19 08:00:00",,0.00,,,,"2023-08-19","08","n"
"2023-08-19 09:00:00",,0.00,,,,"2023-08-19","09","n"
"2023-08-19 10:00:00",,0.00,,,,"2023-08-19","10","n"
"2023-08-19 11:00:00",,0.00,,,,"2023-08-19","11","n"
"2023-08-19 12:00:00",,0.00,,,,"2023-08-19","12","n"
"2023-08-19 13:00:00",,0.00,,,,"2023-08-19","13","n"
"2023-08-19 14:00:00",,9.51,,,,"2023-08-19","14","n"
"2023-08-19 15:00:00",,29.60,,,,"2023-08-19","15","n"
"2023-08-19 16:00:00",,49.56,,,,"2023-08-19","16","n"
"2023-08-19 17:00:00",,67.24,,,,"2023-08-19","17","n"
"2023-08-19 18:00:00",,80.77,,,,"2023-08-19","18","n"
"2023-08-19 19:00:00",,89.06,,,,"2023-08-19","19","n"
"2023-08-19 20:00:00",,89.01,,,,"2023-08-19","20","n"
"2023-08-19 21:00:00",,3.89,,,,"2023-08-19","21","n"
"2023-08-19 22:00:00",,37.99,,,,"2023-08-19","22","n"
"2023-08-19 23:00:00",,18.43,,,,"2023-08-19","23","n"
"2023-08-20 00:00:00",,1.03,,,,"2023-08-20","00","n"
"2023-08-20 01:00:00",,0.82,,,,"2023-08-20","01","n"
"2023-08-20 02:00:00",,5.23,,,,"2023-08-20","02","n"
"2023-08-20 03:00:00",,0.00,,,,"2023-08-20","03","n"
"2023-08-20 04:00:00",,0.00,,,,"2023-08-20","04","n"
"2023-08-20 05:00:00",,0.00,,,,"2023-08-20","05","n"
"2023-08-20 06:00:00",,0.00,,,,"2023-08-20","06","n"
"2023-08-20 07:00:00",,0.00,,,,"2023-08-20","07","n"
"2023-08-20 08:00:00",,0.00,,,,"2023-08-20","08","n"
"2023-08-20 09:00:00",,0.00,,,,"2023-08-20","09","n"
"2023-08-20 10:00:00",,0.00,,,,"2023-08-20","10","n"
"2023-08-20 11:00:00",,0.00,,,,"2023-08-20","11","n"
"2023-08-20 12:00:00",,0.00,,,,"2023-08-20","12","n"
"2023-08-20 13:00:00",,0.00,,,,"2023-08-20","13","n"
"2023-08-20 14:00:00",,5.34,,,,"2023-08-20","14","n"
"2023-08-20 15:00:00",,3.54,,,,"2023-08-20","15","n"
"2023-08-20 16:00:00",,3.76,,,,"2023-08-20","16","n"
"2023-08-20 17:00:00",,17.29,,,,"2023-08-20","17","n"
"2023-08-20 18:00:00",,11.04,,,,"2023-08-20","18","n"
"2023-08-20 19:00:00",,6.85,,,,"2023-08-20","19","n"
"2023-08-20 20:00:00",,1.07,,,,"2023-08-20","20","n"
"2023-08-20 21:00:00",,1.96,,,,"2023-08-20","21","n"
"2023-08-20 22:00:00",,1.62,,,,"2023-08-20","22","n"
"2023-08-20 23:00:00",,2.80,,,,"2023-08-20","23","n"
"2023-08-21 00:00:00",,1.82,,,,"2023-08-21","00","n"
"2023-08-21 01:00:00",,0.71,,,,"2023-08-21","01","n"
"2023-08-21 02:00:00",,0.38,,,,"2023-08-21","02","n"
"2023-08-21 03:00:00",,0.00,,,,"2023-08-21","03","n"
"2023-08-21 04:00:00",,0.00,,,,"2023-08-21","04","n"
"2023-08-21 05:00:00",,0.00,,,,"2023-08-21","05","n"
"2023-08-21 06:00:00",,0.00,,,,"2023-08-21","06","n"
