"Date","Snow Surface SublimationRate (in/hr)","Blowing Snow SublimationRate (in/hr)","Observed Blowing Snow","(Modeled)SnowMelt Rate (in/hr)","(Modeled)6-ft Relative Humidity (%)","(Modeled) 33-ft Wind Speed (mi/hr)","(Observed) 33-ft Wind Speed (mi/hr)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-16 01:00:00",,,,,62.9,4.19,2.84,"2023-08-16","01","n"
"2023-08-16 02:00:00",,,,,61.4,3.19,4.90,"2023-08-16","02","n"
"2023-08-16 03:00:00",,,,,66.7,2.12,3.54,"2023-08-16","03","n"
"2023-08-16 04:00:00",,,,,75.6,0.88,2.02,"2023-08-16","04","n"
"2023-08-16 05:00:00",,,,,78.0,0.88,0.92,"2023-08-16","05","n"
"2023-08-16 06:00:00",,,,,79.9,0.73,2.89,"2023-08-16","06","n"
"2023-08-16 07:00:00",,,,,82.9,0.88,5.00,"2023-08-16","07","n"
"2023-08-16 08:00:00",,,,,86.0,1.84,5.94,"2023-08-16","08","n"
"2023-08-16 09:00:00",,,,,85.8,1.23,5.42,"2023-08-16","09","n"
"2023-08-16 10:00:00",,,,,83.3,1.76,4.68,"2023-08-16","10","n"
"2023-08-16 11:00:00",,,,,88.1,1.03,5.98,"2023-08-16","11","n"
"2023-08-16 12:00:00",,,,,88.1,2.13,3.84,"2023-08-16","12","n"
"2023-08-16 13:00:00",,,,,86.1,1.18,4.58,"2023-08-16","13","n"
"2023-08-16 14:00:00",,,,,85.2,1.51,4.68,"2023-08-16","14","n"
"2023-08-16 15:00:00",,,,,80.6,0.18,3.26,"2023-08-16","15","n"
"2023-08-16 16:00:00",,,,,73.3,0.56,0.48,"2023-08-16","16","n"
"2023-08-16 17:00:00",,,,,63.1,1.03,3.25,"2023-08-16","17","n"
"2023-08-16 18:00:00",,,,,44.7,1.45,4.02,"2023-08-16","18","n"
"2023-08-16 19:00:00",,,,,29.6,1.13,5.16,"2023-08-16","19","n"
"2023-08-16 20:00:00",,,,,23.2,2.05,7.44,"2023-08-16","20","n"
"2023-08-16 21:00:00",,,,,22.1,2.12,10.03,"2023-08-16","21","n"
"2023-08-16 22:00:00",,,,,28.2,2.14,5.20,"2023-08-16","22","n"
"2023-08-16 23:00:00",,,,,33.4,4.10,8.71,"2023-08-16","23","n"
"2023-08-17 00:00:00",,,,,39.4,10.51,17.56,"2023-08-17","00","n"
"2023-08-17 01:00:00",,,,,41.3,9.58,6.96,"2023-08-17","01","n"
"2023-08-17 02:00:00",,,,,51.0,9.72,7.22,"2023-08-17","02","n"
"2023-08-17 03:00:00",,,,,47.0,5.59,3.69,"2023-08-17","03","n"
"2023-08-17 04:00:00",,,,,50.6,2.36,4.37,"2023-08-17","04","n"
"2023-08-17 05:00:00",,,,,57.0,1.94,7.06,"2023-08-17","05","n"
"2023-08-17 06:00:00",,,,,57.4,2.23,1.78,"2023-08-17","06","n"
"2023-08-17 07:00:00",,,,,60.1,0.25,2.47,"2023-08-17","07","n"
"2023-08-17 08:00:00",,,,,54.2,2.84,4.86,"2023-08-17","08","n"
"2023-08-17 09:00:00",,,,,64.8,1.97,4.56,"2023-08-17","09","n"
"2023-08-17 10:00:00",,,,,66.1,0.53,0.87,"2023-08-17","10","n"
"2023-08-17 11:00:00",,,,,65.4,2.40,4.19,"2023-08-17","11","n"
"2023-08-17 12:00:00",,,,,74.4,1.87,0.64,"2023-08-17","12","n"
"2023-08-17 13:00:00",,,,,83.9,1.80,5.55,"2023-08-17","13","n"
"2023-08-17 14:00:00",,,,,76.6,2.21,3.28,"2023-08-17","14","n"
"2023-08-17 15:00:00",,,,,74.4,1.07,4.59,"2023-08-17","15","n"
"2023-08-17 16:00:00",,,,,74.3,0.18,4.10,"2023-08-17","16","n"
"2023-08-17 17:00:00",,,,,67.6,0.88,1.77,"2023-08-17","17","n"
"2023-08-17 18:00:00",,,,,47.5,2.23,4.49,"2023-08-17","18","n"
"2023-08-17 19:00:00",,,,,38.0,3.17,4.97,"2023-08-17","19","n"
"2023-08-17 20:00:00",,,,,29.5,2.75,5.37,"2023-08-17","20","n"
"2023-08-17 21:00:00",,,,,26.4,4.81,7.33,"2023-08-17","21","n"
"2023-08-17 22:00:00",,,,,37.9,3.34,9.98,"2023-08-17","22","n"
"2023-08-17 23:00:00",,,,,32.2,5.36,,"2023-08-17","23","n"
"2023-08-18 00:00:00",,,,,48.9,11.88,,"2023-08-18","00","n"
"2023-08-18 01:00:00",,,,,35.0,3.54,9.75,"2023-08-18","01","n"
"2023-08-18 02:00:00",,,,,39.3,5.28,1.86,"2023-08-18","02","n"
"2023-08-18 03:00:00",,,,,41.2,4.70,5.50,"2023-08-18","03","n"
"2023-08-18 04:00:00",,,,,54.0,3.71,8.69,"2023-08-18","04","n"
"2023-08-18 05:00:00",,,,,60.4,3.03,4.78,"2023-08-18","05","n"
"2023-08-18 06:00:00",,,,,61.0,1.11,5.68,"2023-08-18","06","n"
"2023-08-18 07:00:00",,,,,63.6,1.74,5.56,"2023-08-18","07","n"
"2023-08-18 08:00:00",,,,,65.0,1.28,4.53,"2023-08-18","08","n"
"2023-08-18 09:00:00",,,,,62.5,2.21,4.65,"2023-08-18","09","n"
"2023-08-18 10:00:00",,,,,69.9,0.25,5.88,"2023-08-18","10","n"
"2023-08-18 11:00:00",,,,,69.7,0.88,6.36,"2023-08-18","11","n"
"2023-08-18 12:00:00",,,,,70.7,1.03,6.11,"2023-08-18","12","n"
"2023-08-18 13:00:00",,,,,63.6,1.49,6.47,"2023-08-18","13","n"
"2023-08-18 14:00:00",,,,,63.5,1.13,5.90,"2023-08-18","14","n"
"2023-08-18 15:00:00",,,,,66.3,0.95,4.40,"2023-08-18","15","n"
"2023-08-18 16:00:00",,,,,57.5,0.39,0.70,"2023-08-18","16","n"
"2023-08-18 17:00:00",,,,,50.7,1.62,3.38,"2023-08-18","17","n"
"2023-08-18 18:00:00",,,,,37.1,2.11,3.27,"2023-08-18","18","n"
"2023-08-18 19:00:00",,,,,23.2,4.11,3.67,"2023-08-18","19","n"
"2023-08-18 20:00:00",,,,,21.5,4.05,5.14,"2023-08-18","20","n"
"2023-08-18 21:00:00",,,,,18.8,8.45,3.61,"2023-08-18","21","n"
"2023-08-18 22:00:00",,,,,18.1,9.38,4.26,"2023-08-18","22","n"
"2023-08-18 23:00:00",,,,,22.0,8.70,3.42,"2023-08-18","23","n"
"2023-08-19 00:00:00",,,,,22.2,10.85,5.25,"2023-08-19","00","n"
"2023-08-19 01:00:00",,,,,35.5,14.98,12.84,"2023-08-19","01","n"
"2023-08-19 02:00:00",,,,,48.3,7.60,15.75,"2023-08-19","02","n"
"2023-08-19 03:00:00",,,,,28.4,7.80,,"2023-08-19","03","n"
"2023-08-19 04:00:00",,,,,35.5,1.66,4.50,"2023-08-19","04","n"
"2023-08-19 05:00:00",,,,,41.6,1.90,4.03,"2023-08-19","05","n"
"2023-08-19 06:00:00",,,,,41.8,2.76,4.48,"2023-08-19","06","n"
"2023-08-19 07:00:00",,,,,40.5,2.91,4.52,"2023-08-19","07","n"
"2023-08-19 08:00:00",,,,,44.0,3.52,3.46,"2023-08-19","08","n"
"2023-08-19 09:00:00",,,,,48.1,2.06,3.54,"2023-08-19","09","n"
"2023-08-19 10:00:00",,,,,56.0,2.05,5.53,"2023-08-19","10","n"
"2023-08-19 11:00:00",,,,,64.5,1.84,6.31,"2023-08-19","11","n"
"2023-08-19 12:00:00",,,,,64.6,0.35,6.87,"2023-08-19","12","n"
"2023-08-19 13:00:00",,,,,74.7,1.11,5.86,"2023-08-19","13","n"
"2023-08-19 14:00:00",,,,,73.2,1.28,6.34,"2023-08-19","14","n"
"2023-08-19 15:00:00",,,,,58.2,0.56,3.88,"2023-08-19","15","n"
"2023-08-19 16:00:00",,,,,54.3,1.00,0.34,"2023-08-19","16","n"
"2023-08-19 17:00:00",,,,,50.1,2.87,0.93,"2023-08-19","17","n"
"2023-08-19 18:00:00",,,,,38.7,2.90,5.66,"2023-08-19","18","n"
"2023-08-19 19:00:00",,,,,30.9,3.52,2.75,"2023-08-19","19","n"
"2023-08-19 20:00:00",,,,,24.0,7.22,6.40,"2023-08-19","20","n"
"2023-08-19 21:00:00",,,,,30.4,11.00,10.15,"2023-08-19","21","n"
"2023-08-19 22:00:00",,,,,27.1,11.89,,"2023-08-19","22","n"
"2023-08-19 23:00:00",,,,,27.0,13.13,,"2023-08-19","23","n"
"2023-08-20 00:00:00",,,,,23.0,7.87,15.75,"2023-08-20","00","n"
"2023-08-20 01:00:00",,,,,34.1,8.08,8.45,"2023-08-20","01","n"
"2023-08-20 02:00:00",,,,,40.5,10.51,5.29,"2023-08-20","02","n"
"2023-08-20 03:00:00",,,,,44.1,4.24,8.07,"2023-08-20","03","n"
"2023-08-20 04:00:00",,,,,48.2,3.77,5.14,"2023-08-20","04","n"
"2023-08-20 05:00:00",,,,,45.9,8.59,5.83,"2023-08-20","05","n"
"2023-08-20 06:00:00",,,,,66.3,6.63,5.56,"2023-08-20","06","n"
"2023-08-20 07:00:00",,,,,72.2,5.29,5.35,"2023-08-20","07","n"
"2023-08-20 08:00:00",,,,,74.9,3.08,5.47,"2023-08-20","08","n"
"2023-08-20 09:00:00",,,,,80.4,1.57,3.68,"2023-08-20","09","n"
"2023-08-20 10:00:00",,,,,87.2,2.11,0.00,"2023-08-20","10","n"
"2023-08-20 11:00:00",,,,,88.1,3.17,1.85,"2023-08-20","11","n"
"2023-08-20 12:00:00",,,,,86.4,2.45,3.12,"2023-08-20","12","n"
"2023-08-20 13:00:00",,,,,86.5,3.39,2.61,"2023-08-20","13","n"
