"Date","Snow Surface Temperature (deg. F)","Mean Snow Pack Temperature (deg. F)","6-ft Air Temperature Forcing (deg. F)","Observed Air Temperature (deg. F)","Observed Dew Point Temperature (deg. F)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-16 01:00:00",,,67.37,67.50,45.52,"2023-08-16","01","n"
"2023-08-16 02:00:00",,,67.01,67.69,46.17,"2023-08-16","02","n"
"2023-08-16 03:00:00",,,65.39,67.05,47.10,"2023-08-16","03","n"
"2023-08-16 04:00:00",,,62.87,65.12,46.22,"2023-08-16","04","n"
"2023-08-16 05:00:00",,,61.61,63.23,47.95,"2023-08-16","05","n"
"2023-08-16 06:00:00",,,59.81,61.57,50.83,"2023-08-16","06","n"
"2023-08-16 07:00:00",,,56.03,56.70,48.99,"2023-08-16","07","n"
"2023-08-16 08:00:00",,,53.15,53.13,46.42,"2023-08-16","08","n"
"2023-08-16 09:00:00",,,52.43,51.55,44.94,"2023-08-16","09","n"
"2023-08-16 10:00:00",,,51.71,50.94,44.92,"2023-08-16","10","n"
"2023-08-16 11:00:00",,,50.99,51.13,45.30,"2023-08-16","11","n"
"2023-08-16 12:00:00",,,52.43,53.01,46.11,"2023-08-16","12","n"
"2023-08-16 13:00:00",,,52.25,52.86,45.72,"2023-08-16","13","n"
"2023-08-16 14:00:00",,,52.43,52.20,46.08,"2023-08-16","14","n"
"2023-08-16 15:00:00",,,58.01,57.67,47.05,"2023-08-16","15","n"
"2023-08-16 16:00:00",,,63.23,62.19,48.60,"2023-08-16","16","n"
"2023-08-16 17:00:00",,,68.63,,49.48,"2023-08-16","17","n"
"2023-08-16 18:00:00",,,73.49,,44.56,"2023-08-16","18","n"
"2023-08-16 19:00:00",,,77.09,,43.07,"2023-08-16","19","n"
"2023-08-16 20:00:00",,,77.45,76.17,40.35,"2023-08-16","20","n"
"2023-08-16 21:00:00",,,78.35,,46.83,"2023-08-16","21","n"
"2023-08-16 22:00:00",,,76.55,77.14,38.86,"2023-08-16","22","n"
"2023-08-16 23:00:00",,,76.55,75.97,43.11,"2023-08-16","23","n"
"2023-08-17 00:00:00",,,75.83,76.73,41.86,"2023-08-17","00","n"
"2023-08-17 01:00:00",,,71.33,72.36,45.28,"2023-08-17","01","n"
"2023-08-17 02:00:00",,,68.99,69.66,48.36,"2023-08-17","02","n"
"2023-08-17 03:00:00",,,67.37,68.50,48.65,"2023-08-17","03","n"
"2023-08-17 04:00:00",,,65.03,66.60,46.99,"2023-08-17","04","n"
"2023-08-17 05:00:00",,,63.95,66.15,46.56,"2023-08-17","05","n"
"2023-08-17 06:00:00",,,62.69,64.08,47.95,"2023-08-17","06","n"
"2023-08-17 07:00:00",,,60.89,62.13,49.46,"2023-08-17","07","n"
"2023-08-17 08:00:00",,,60.71,61.88,49.96,"2023-08-17","08","n"
"2023-08-17 09:00:00",,,59.09,60.17,51.46,"2023-08-17","09","n"
"2023-08-17 10:00:00",,,59.09,59.72,51.82,"2023-08-17","10","n"
"2023-08-17 11:00:00",,,58.37,58.39,52.12,"2023-08-17","11","n"
"2023-08-17 12:00:00",,,57.65,59.43,51.26,"2023-08-17","12","n"
"2023-08-17 13:00:00",,,55.13,56.43,52.00,"2023-08-17","13","n"
"2023-08-17 14:00:00",,,55.67,56.53,51.49,"2023-08-17","14","n"
"2023-08-17 15:00:00",,,56.75,56.91,51.80,"2023-08-17","15","n"
"2023-08-17 16:00:00",,,61.25,61.12,51.62,"2023-08-17","16","n"
"2023-08-17 17:00:00",,,65.75,65.66,49.42,"2023-08-17","17","n"
"2023-08-17 18:00:00",,,68.45,66.67,47.93,"2023-08-17","18","n"
"2023-08-17 19:00:00",,,71.69,70.09,47.39,"2023-08-17","19","n"
"2023-08-17 20:00:00",,,74.57,73.60,45.50,"2023-08-17","20","n"
"2023-08-17 21:00:00",,,76.37,75.38,39.78,"2023-08-17","21","n"
"2023-08-17 22:00:00",,,75.47,75.45,41.81,"2023-08-17","22","n"
"2023-08-17 23:00:00",,,76.91,78.13,41.04,"2023-08-17","23","n"
"2023-08-18 00:00:00",,,74.21,74.73,42.13,"2023-08-18","00","n"
"2023-08-18 01:00:00",,,74.93,75.22,38.50,"2023-08-18","01","n"
"2023-08-18 02:00:00",,,74.21,75.22,43.02,"2023-08-18","02","n"
"2023-08-18 03:00:00",,,72.59,74.37,42.53,"2023-08-18","03","n"
"2023-08-18 04:00:00",,,65.93,66.90,42.33,"2023-08-18","04","n"
"2023-08-18 05:00:00",,,61.79,61.18,45.43,"2023-08-18","05","n"
"2023-08-18 06:00:00",,,59.81,59.07,45.25,"2023-08-18","06","n"
"2023-08-18 07:00:00",,,56.57,55.15,45.79,"2023-08-18","07","n"
"2023-08-18 08:00:00",,,54.77,54.16,46.36,"2023-08-18","08","n"
"2023-08-18 09:00:00",,,54.05,53.58,46.72,"2023-08-18","09","n"
"2023-08-18 10:00:00",,,51.89,51.89,45.28,"2023-08-18","10","n"
"2023-08-18 11:00:00",,,50.63,50.04,44.38,"2023-08-18","11","n"
"2023-08-18 12:00:00",,,49.01,48.47,43.77,"2023-08-18","12","n"
"2023-08-18 13:00:00",,,47.93,47.30,43.21,"2023-08-18","13","n"
"2023-08-18 14:00:00",,,48.65,46.87,43.09,"2023-08-18","14","n"
"2023-08-18 15:00:00",,,58.55,,45.34,"2023-08-18","15","n"
"2023-08-18 16:00:00",,,61.25,59.43,47.16,"2023-08-18","16","n"
"2023-08-18 17:00:00",,,64.31,62.22,49.05,"2023-08-18","17","n"
"2023-08-18 18:00:00",,,69.17,67.15,46.69,"2023-08-18","18","n"
"2023-08-18 19:00:00",,,73.49,72.63,38.21,"2023-08-18","19","n"
"2023-08-18 20:00:00",,,75.29,74.25,31.12,"2023-08-18","20","n"
"2023-08-18 21:00:00",,,76.91,76.05,29.59,"2023-08-18","21","n"
"2023-08-18 22:00:00",,,78.71,78.19,25.95,"2023-08-18","22","n"
"2023-08-18 23:00:00",,,77.81,77.07,26.20,"2023-08-18","23","n"
"2023-08-19 00:00:00",,,77.09,77.02,29.23,"2023-08-19","00","n"
"2023-08-19 01:00:00",,,74.93,76.62,29.88,"2023-08-19","01","n"
"2023-08-19 02:00:00",,,70.43,74.17,36.59,"2023-08-19","02","n"
"2023-08-19 03:00:00",,,69.35,69.91,41.97,"2023-08-19","03","n"
