# STATION: CQ251
# STATION NAME: Mono Lake North Shore
# LATITUDE: 38.06972
# LONGITUDE: -118.94806
# ELEVATION [ft]: 6421.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
CQ251,09/01/2023 00:00 UTC,76.68,12.66,22.84,199.6,,SSW,,21.63
CQ251,09/01/2023 01:00 UTC,75.54,15.17,24.67,197.4,,SSW,,24.97
CQ251,09/01/2023 02:00 UTC,73.51,17.37,23.91,197.8,,SSW,,26.55
CQ251,09/01/2023 03:00 UTC,70.14,25.07,22.42,189.9,,S,,32.67
CQ251,09/01/2023 04:00 UTC,67.68,26.15,20.43,185.4,,S,,31.6
CQ251,09/01/2023 05:00 UTC,67.39,23.31,28.84,194.0,,SSW,,28.54
CQ251,09/01/2023 06:00 UTC,66.04,26.03,29.7,185.4,,S,,30.08
CQ251,09/01/2023 07:00 UTC,65.73,22.31,33.46,178.6,,S,,26.07
CQ251,09/01/2023 08:00 UTC,65.07,22.03,33.11,178.0,,S,,25.21
CQ251,09/01/2023 09:00 UTC,64.54,21.54,30.45,176.6,,S,,24.22
CQ251,09/01/2023 10:00 UTC,63.72,23.13,30.2,173.8,,S,,25.23
CQ251,09/01/2023 11:00 UTC,63.03,26.21,28.01,163.3,,SSE,,27.66
CQ251,09/01/2023 12:00 UTC,62.58,22.86,23.22,150.9,,SSE,,23.98
CQ251,09/01/2023 13:00 UTC,61.3,21.24,17.03,135.0,,SE,,21.16
CQ251,09/01/2023 14:00 UTC,62.91,26.96,20.29,173.9,,S,,28.24
CQ251,09/01/2023 15:00 UTC,63.75,24.81,23.27,178.6,,S,,26.94
CQ251,09/01/2023 16:00 UTC,64.42,23.95,26.09,170.4,,S,,26.66
CQ251,09/01/2023 17:00 UTC,65.71,22.47,31.12,165.8,,SSE,,26.22
CQ251,09/01/2023 18:00 UTC,67.15,22.53,31.43,174.1,,S,,27.51
CQ251,09/01/2023 19:00 UTC,68.34,20.25,31.12,173.5,,S,,25.94
CQ251,09/01/2023 20:00 UTC,69.73,21.76,27.96,178.1,,S,,28.84
CQ251,09/01/2023 21:00 UTC,70.12,21.2,27.07,190.3,,S,,28.54
CQ251,09/01/2023 22:00 UTC,70.07,22.38,29.72,182.2,,S,,29.82
CQ251,09/01/2023 23:00 UTC,69.46,22.69,29.03,189.2,,S,,29.64
CQ251,09/02/2023 00:00 UTC,69.12,21.35,26.66,201.6,,SSW,,27.87
CQ251,09/02/2023 01:00 UTC,67.95,22.58,23.04,198.4,,SSW,,28.24
CQ251,09/02/2023 02:00 UTC,65.82,24.56,20.55,191.4,,SSW,,28.47
CQ251,09/02/2023 03:00 UTC,63.46,27.89,18.99,180.0,,S,,29.54
CQ251,09/02/2023 04:00 UTC,61.61,29.78,17.1,169.9,,S,,29.54
CQ251,09/02/2023 05:00 UTC,60.87,27.58,17.34,168.4,,SSE,,27.02
CQ251,09/02/2023 06:00 UTC,60.13,25.93,17.56,155.1,,SSE,,24.9
CQ251,09/02/2023 07:00 UTC,60.91,23.22,25.64,166.7,,SSE,,22.94
CQ251,09/02/2023 08:00 UTC,60.93,25.73,23.53,179.8,,S,,25.4
CQ251,09/02/2023 09:00 UTC,61.54,27.88,22.01,194.9,,SSW,,27.87
CQ251,09/02/2023 10:00 UTC,61.41,34.44,26.89,201.2,,SSW,,32.96
CQ251,09/02/2023 11:00 UTC,61.21,45.24,26.62,178.9,,S,,39.7
CQ251,09/02/2023 12:00 UTC,60.89,50.02,28.41,168.5,,SSE,,42.01
CQ251,09/02/2023 13:00 UTC,60.48,52.82,21.64,170.8,,S,,43.05
CQ251,09/02/2023 14:00 UTC,59.74,54.63,13.95,146.6,,SSE,,43.25
CQ251,09/04/2023 09:00 UTC,41.25,0.36,3.62,67.5,,ENE,,-64.78
