,Date,Evap_Sum_Abs,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,TS,RH2M,QV2M,PRECTOTCORR,PS,WS2M,044881_precip,044881_precip_mm,Ta,r,wind speed,wind dir,Tdew,PET_hg,PET_harm,Wind Direction
0,2023-09-14,0.18599999999997863,23.52,23.73,31.01,120.05,121.13,15.75,0.42,16.16,4.33,10.24,17.41,50.06,6.77,0.02,78.06,1.81,0.0,0.0,58.60583333333333,32.46041666666667,5.5945833333333335,94.66250000000001,14.872083333333334,4.049806166775506,2.2105997336686394,94.66250000000001
1,2023-09-15,2.26400000000001,23.54,23.74,30.79,120.89,121.96,15.96,0.43,17.67,0.48,9.08,17.83,34.06,5.13,0.01,78.11,1.38,0.01,0.254,58.21083333333333,35.24,5.41375,108.54583333333333,28.13625,4.001516149278518,2.076509617223704,108.54583333333333
2,2023-09-16,2.9470000000000027,23.09,23.36,30.57,117.39,118.79,15.41,0.41,17.05,0.59,8.82,17.45,36.31,5.19,0.18,78.09,2.07,0.0,0.0,59.12041666666667,37.47958333333333,5.474166666666666,125.325,30.99,4.046109865478308,2.2271029672679306,125.325
3,2023-09-17,1.4890000000000043,21.43,22.69,30.34,110.36,116.66,14.59,0.39,16.68,3.96,10.32,16.83,44.62,6.53,0.01,78.02,1.73,0.0,0.0,58.63125,38.47958333333333,5.81,111.08333333333333,30.85625,4.086270379560396,2.1536146498765154,111.08333333333333
8,2023-09-22,2.302000000000021,23.11,23.05,29.19,115.52,115.21,15.11,0.38,10.76,-3.3,3.73,11.95,48.0,3.97,0.0,77.73,1.45,0.0,0.0,46.82708333333333,43.53041666666667,6.83125,94.46249999999999,23.700416666666666,3.353931311849513,1.3620703918987562,94.46249999999999
10,2023-09-24,0.29599999999999227,22.36,22.27,28.73,109.04,108.73,14.04,0.35,12.37,-6.47,2.94,12.89,32.25,3.05,0.0,77.9,2.3,0.0,0.0,54.548750000000005,36.13,7.990416666666667,124.0,25.303749999999997,3.6609067979109273,1.8446782023442074,124.0
11,2023-09-25,3.967000000000013,21.25,22.57,28.5,104.65,111.01,13.84,0.37,12.07,-6.53,2.77,12.64,31.31,2.99,0.0,77.99,2.89,0.0,0.0,56.79750000000001,28.500416666666666,7.910416666666666,128.90833333333333,20.7475,3.64263743166256,1.9706857166199143,128.90833333333333
13,2023-09-27,2.6260000000000048,21.67,21.83,28.04,109.72,110.7,14.34,0.38,15.41,-2.04,6.69,15.63,34.62,4.27,0.0,77.88,1.59,0.0,0.0,55.80916666666667,33.670833333333334,5.864166666666667,122.71666666666665,25.062083333333334,3.804889020943111,1.8929489065736724,122.71666666666665
14,2023-09-28,2.9000000000000057,21.65,21.6,27.81,109.94,109.88,14.35,0.39,15.23,-2.56,6.33,15.01,32.0,4.09,0.0,77.6,1.12,0.0,0.0,55.064166666666665,37.040416666666665,5.6875,97.85000000000001,26.94666666666667,3.739509352322192,1.8934979129336231,97.85000000000001
17,2023-10-01,0.1869999999999834,7.99,20.52,27.11,43.71,105.15,6.48,0.16,4.69,0.87,2.78,6.52,77.75,5.25,4.14,77.2,1.45,0.19,4.826,40.385,0.36791666666666667,4.137083333333333,104.41250000000001,-64.97375,1.739731151720321,1.1133542059503578,104.41250000000001
