-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/07/2023 through 11/02/2023 
Location: Latitude  38.0   Longitude -119.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2246.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN             CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB         CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,TS,RH2M,QV2M,PRECTOTCORR,PS,WS2M
2023,250,25.44,25.44,32.52,127.75,127.47,16.8,0.46,15.65,-1.96,6.84,16.91,36.06,4.33,0.0,77.98,2.24
2023,251,25.26,25.35,32.31,127.2,127.41,16.77,0.46,15.46,-2.02,6.72,16.18,35.38,4.27,0.0,78.23,2.99
2023,252,15.49,23.45,32.1,83.01,122.96,11.39,0.31,17.19,7.7,12.44,18.24,56.0,8.54,2.28,78.36,1.88
2023,253,18.77,23.83,31.88,99.19,124.78,13.5,0.38,17.53,8.53,13.03,18.72,58.31,8.91,2.33,78.23,1.2
2023,254,20.22,23.41,31.66,104.84,120.81,14.03,0.39,17.56,6.98,12.27,19.05,52.44,8.06,0.86,78.06,0.89
2023,255,22.74,23.46,31.44,116.63,120.19,15.3,0.41,17.47,6.3,11.89,18.66,49.44,7.69,0.01,77.96,0.8
2023,256,21.36,23.28,31.23,109.87,119.59,14.56,0.39,17.22,5.74,11.48,19.0,50.0,7.45,0.16,77.92,1.15
2023,257,23.52,23.73,31.01,120.05,121.13,15.75,0.42,16.16,4.33,10.24,17.41,50.06,6.77,0.02,78.06,1.81
2023,258,23.54,23.74,30.79,120.89,121.96,15.96,0.43,17.67,0.48,9.08,17.83,34.06,5.13,0.01,78.11,1.38
2023,259,23.09,23.36,30.57,117.39,118.79,15.41,0.41,17.05,0.59,8.82,17.45,36.31,5.19,0.18,78.09,2.07
2023,260,21.43,22.69,30.34,110.36,116.66,14.59,0.39,16.68,3.96,10.32,16.83,44.62,6.53,0.01,78.02,1.73
2023,261,22.02,22.72,30.11,112.02,115.41,14.76,0.38,16.65,4.55,10.6,18.23,49.06,6.84,0.01,77.84,1.19
2023,262,21.53,22.48,29.88,108.96,113.49,14.21,0.36,15.67,4.9,10.29,17.66,54.19,7.02,0.3,77.76,1.55
2023,263,20.37,22.16,29.65,103.74,112.48,13.6,0.34,14.29,4.38,9.33,16.34,56.88,6.77,0.24,77.45,2.23
2023,264,16.31,22.96,29.42,81.59,113.18,11.04,0.28,9.39,1.1,5.24,11.07,61.75,5.43,0.1,77.36,2.55
2023,265,23.11,23.05,29.19,115.52,115.21,15.11,0.38,10.76,-3.3,3.73,11.95,48.0,3.97,0.0,77.73,1.45
2023,266,22.61,22.57,28.96,112.33,112.19,14.59,0.37,13.48,-4.72,4.38,13.65,32.25,3.48,0.0,77.83,1.2
2023,267,22.36,22.27,28.73,109.04,108.73,14.04,0.35,12.37,-6.47,2.94,12.89,32.25,3.05,0.0,77.9,2.3
2023,268,21.25,22.57,28.5,104.65,111.01,13.84,0.37,12.07,-6.53,2.77,12.64,31.31,2.99,0.0,77.99,2.89
2023,269,22.01,21.96,28.27,112.08,111.91,14.66,0.39,13.6,-4.99,4.3,14.37,31.25,3.48,0.0,78.07,2.08
2023,270,21.67,21.83,28.04,109.72,110.7,14.34,0.38,15.41,-2.04,6.69,15.63,34.62,4.27,0.0,77.88,1.59
2023,271,21.65,21.6,27.81,109.94,109.88,14.35,0.39,15.23,-2.56,6.33,15.01,32.0,4.09,0.0,77.6,1.12
2023,272,20.78,21.02,27.58,105.73,107.16,13.8,0.38,13.02,-1.47,5.77,13.46,42.31,4.58,0.22,77.22,3.09
2023,273,11.51,20.98,27.34,60.25,106.43,8.58,0.24,7.15,1.28,4.22,9.3,69.56,5.49,7.33,76.88,1.85
2023,274,7.99,20.52,27.11,43.71,105.15,6.48,0.16,4.69,0.87,2.78,6.52,77.75,5.25,4.14,77.2,1.45
2023,275,12.43,20.4,26.87,64.13,104.2,8.9,0.22,6.08,-0.28,2.9,7.69,67.31,4.82,0.03,77.65,1.97
