Date,044881_mint,044881_avgt,044881_maxt,044881_pcpn,044881_snow,044881_snwd
9/7/2023,45,61.5,78,0,0,0
9/8/2023,46,63,80,0,0,0
9/9/2023,55,68,81,0,0,0
9/10/2023,52,62.5,73,0.07,0,0
9/11/2023,47,62,77,0,0,0
9/12/2023,47,60.5,74,0,0,0
9/13/2023,48,62.5,77,0.11,0,0
9/14/2023,46,60.5,75,0,0,0
9/15/2023,45,61,77,0.01,0,0
9/16/2023,47,62.5,78,0,0,0
9/17/2023,46,62,78,0,0,0
9/18/2023,46,62,78,0,0,0
9/19/2023,45,61,77,0,0,0
9/20/2023,46,60.5,75,0,0,0
9/21/2023,40,48.5,57,0,0,0
9/22/2023,34,50.5,67,0,0,0
9/23/2023,38,54,70,0,0,0
9/24/2023,41,56.5,72,0,0,0
9/25/2023,42,59,76,0,0,0
9/26/2023,42,59.5,77,0,0,0
9/27/2023,43,60.5,78,0,0,0
9/28/2023,43,61.5,80,0,0,0
9/29/2023,41,59,77,0,0,0
9/30/2023,39,56,73,0.09,0,0
10/1/2023,36,47.5,59,0.19,0,0
10/2/2023,37,43,49,0.45,0,0
10/3/2023,36,47,58,0.03,0,0
10/4/2023,39,52,65,0,0,0
10/5/2023,39,51.5,64,0,0,0
10/6/2023,41,55,69,0,0,0
10/7/2023,41,56.5,72,0,0,0
10/8/2023,42,58.5,75,0,0,0
10/9/2023,44,58.5,73,0,0,0
10/10/2023,43,57.5,72,0,0,0
10/11/2023,45,58.5,72,0,0,0
10/12/2023,30,44.5,59,0,0,0
10/13/2023,33,45,57,0,0,0
10/14/2023,36,48.5,61,0,0,0
10/15/2023,37,52,67,0,0,0
10/16/2023,40,55.5,71,0,0,0
10/17/2023,39,57.5,76,0,0,0
10/18/2023,38,56,74,0,0,0
10/19/2023,38,46,54,0,0,0
10/20/2023,40,58.5,77,0,0,0
10/21/2023,40,57,74,0,0,0
10/22/2023,41,57,73,0,0,0
10/23/2023,41,53.5,66,0,0,0
10/24/2023,34,47.5,61,0,0,0
10/25/2023,40,51.5,63,0,0,0
10/26/2023,35,48,61,0.05,0,0
10/27/2023,27,42.5,58,0,0,0
10/28/2023,26,42.5,59,0,0,0
10/29/2023,19,33.5,48,0,0,0
10/30/2023,22,37,52,0,0,0
10/31/2023,26,42,58,0,0,0
11/1/2023,28,45.5,63,0,0,0
11/2/2023,29,,,0,0,0
