DateTime,040943_precip,042756_precip,047606_precip,043369_precip,USS0019L42S_precip,USS0019L38S_precip,USS0019L17S_precip,USS0019L13S_precip,USS0019L08S_precip,USS0019L07S_precip,044881_precip,041072_precip,040684_precip,045779_precip,US1CAMN0001_precip,US1CAMN0004_precip
2023-09-07,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-08,,,,,0.0000,0.1000,0.0000,0.0000,0.1000,0.0000,0.0000,,,,,0.0000
2023-09-09,,,,,0.3000,0.1000,0.1000,0.2000,0.2000,0.4000,0.0000,,,,,0.0000
2023-09-10,,,,,0.0000,0.0000,0.4000,0.0000,0.0000,0.2000,0.0700,,,,,0.1800
2023-09-11,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,0.0800
2023-09-12,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,,,,,
2023-09-13,,,,,0.1000,0.0000,0.1000,0.0000,0.0000,0.2000,0.1100,,,,,
2023-09-14,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-15,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,,,,,
2023-09-16,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-17,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-18,,,,,0.2000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,,,,,
2023-09-19,,,,,0.2000,0.0000,0.0000,0.2000,0.3000,0.1000,0.0000,,,,,
2023-09-20,,,,,0.1000,0.0000,0.1000,0.0000,0.1000,0.0000,0.0000,,,,,
2023-09-21,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-22,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-23,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-24,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-25,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-26,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-27,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-28,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-29,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-09-30,,,,,0.1000,0.0000,0.3000,0.4000,0.0000,0.1000,0.0900,,,,,
2023-10-01,,,,,0.2000,0.1000,0.3000,0.5000,0.1000,0.0000,0.1900,,,,,
2023-10-02,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4500,,,,,
2023-10-03,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,,,,,
2023-10-04,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-05,,,,,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-06,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
2023-10-07,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
